,idx,diff,metric_name,decision
0,0,0.1414299,ssim,1
1,1,0.11892306,ssim,1
2,2,0.10013189,ssim,1
3,7,0.34188563,ssim,1
4,54,0.26086956,ssim,1
5,245,0.22925402,ssim,1
6,251,0.36004496,ssim,1
7,252,0.33096874,ssim,1
8,283,0.3261154,ssim,1
9,324,0.2786187,ssim,1
10,326,0.2646393,ssim,1
11,580,0.3225146,ssim,1
12,582,0.31258976,ssim,1
13,590,0.29511356,ssim,1
14,629,0.27355316,ssim,1
15,630,0.2999741,ssim,1
16,770,0.35728922,ssim,1
17,773,0.34808192,ssim,1
18,96,0.9982925,ssim,0
19,224,0.9985235,ssim,0
20,282,0.99842757,ssim,0
21,429,0.99814385,ssim,0
22,474,0.99770635,ssim,0
23,495,0.99809986,ssim,0
24,497,0.99716854,ssim,0
25,579,0.99759126,ssim,0
26,677,0.9970513,ssim,0
27,680,0.99849063,ssim,0
28,691,0.9969924,ssim,0
29,700,0.9987441,ssim,0
30,707,0.9978937,ssim,0
31,734,0.99695367,ssim,0
32,736,0.9993231,ssim,0
33,737,0.9968569,ssim,0
34,739,0.9982807,ssim,0
35,810,0.9979299,ssim,0
