device,n_anchors,encoding,n_uspc,data_idx,network_time
macbook_pro_15,1024,EncodeProbeBufferCPUOptimized,2,1018.0,17.95581737849779
macbook_pro_15,1024,EncodeProbeBufferCPUOptimized,4,1018.0,27.99558173784978
macbook_pro_15,1024,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,12.58321060382916
macbook_pro_15,1024,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,13.914089347079038
macbook_pro_15,1024,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,20.207658321060382
macbook_pro_15,1280,EncodeProbeBufferCPUFloat4,1,1018.0,22.556210112911145
macbook_pro_15,1280,EncodeProbeBufferCPUFloat4,2,1018.0,38.56259204712813
macbook_pro_15,1280,EncodeProbeBufferCPUFloat4,4,1018.0,55.38242513500246
macbook_pro_15,1280,EncodeProbeBufferCPUFloat4Striped,1,1018.0,10.878743249877271
macbook_pro_15,1280,EncodeProbeBufferCPUFloat4Striped,2,1018.0,16.345606283750612
macbook_pro_15,1280,EncodeProbeBufferCPUFloat4Striped,4,1018.0,20.531664212076585
macbook_pro_15,1280,EncodeProbeBufferCPUOptimized,1,1018.0,13.614629356897398
macbook_pro_15,1280,EncodeProbeBufferCPUOptimized,2,1018.0,22.575846833578794
macbook_pro_15,1280,EncodeProbeBufferCPUOptimized,4,1018.0,32.543446244477174
macbook_pro_15,1280,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,12.718213058419243
macbook_pro_15,1280,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,15.91458026509573
macbook_pro_15,1280,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,19.68433971526755
macbook_pro_15,1536,EncodeProbeBufferCPUFloat4,1,1018.0,22.463917525773194
macbook_pro_15,1536,EncodeProbeBufferCPUFloat4,2,1018.0,37.251840942562595
macbook_pro_15,1536,EncodeProbeBufferCPUFloat4,4,1018.0,56.99852724594992
macbook_pro_15,1536,EncodeProbeBufferCPUFloat4Striped,1,1018.0,12.85419734904271
macbook_pro_15,1536,EncodeProbeBufferCPUFloat4Striped,2,1018.0,16.258222876779577
macbook_pro_15,1536,EncodeProbeBufferCPUFloat4Striped,4,1018.0,18.526755031909673
macbook_pro_15,1536,EncodeProbeBufferCPUOptimized,1,1018.0,14.028964162984781
macbook_pro_15,1536,EncodeProbeBufferCPUOptimized,2,1018.0,24.027000490918017
macbook_pro_15,1536,EncodeProbeBufferCPUOptimized,4,1018.0,32.82523318605793
macbook_pro_15,1536,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,13.444280805105548
macbook_pro_15,1536,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,15.293078055964655
macbook_pro_15,1536,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,19.406971035837014
macbook_pro_15,1792,EncodeProbeBufferCPUFloat4,1,1018.0,24.49091801669121
macbook_pro_15,1792,EncodeProbeBufferCPUFloat4,2,1018.0,36.650957290132546
macbook_pro_15,1792,EncodeProbeBufferCPUFloat4,4,1018.0,60.0392734413353
macbook_pro_15,1792,EncodeProbeBufferCPUFloat4Striped,1,1018.0,14.193421698576337
macbook_pro_15,1792,EncodeProbeBufferCPUFloat4Striped,2,1018.0,17.05252822778596
macbook_pro_15,1792,EncodeProbeBufferCPUFloat4Striped,4,1018.0,19.718703976435936
macbook_pro_15,1792,EncodeProbeBufferCPUOptimized,1,1018.0,16.21453117329406
macbook_pro_15,1792,EncodeProbeBufferCPUOptimized,2,1018.0,24.02503681885125
macbook_pro_15,1792,EncodeProbeBufferCPUOptimized,4,1018.0,33.82376043200785
macbook_pro_15,1792,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,13.154639175257731
macbook_pro_15,1792,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,16.998036327933235
macbook_pro_15,1792,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,21.479626902307313
macbook_pro_15,2048,EncodeProbeBufferCPUFloat4,1,1018.0,25.753559155621012
macbook_pro_15,2048,EncodeProbeBufferCPUFloat4,2,1018.0,37.64408443789887
macbook_pro_15,2048,EncodeProbeBufferCPUFloat4,4,1018.0,59.61610211094747
macbook_pro_15,2048,EncodeProbeBufferCPUFloat4Striped,1,1018.0,14.621011291114383
macbook_pro_15,2048,EncodeProbeBufferCPUFloat4Striped,2,1018.0,17.35247913598429
macbook_pro_15,2048,EncodeProbeBufferCPUFloat4Striped,4,1018.0,19.964653902798233
macbook_pro_15,2048,EncodeProbeBufferCPUOptimized,1,1018.0,16.51742758959254
macbook_pro_15,2048,EncodeProbeBufferCPUOptimized,2,1018.0,24.143838978890525
macbook_pro_15,2048,EncodeProbeBufferCPUOptimized,4,1018.0,35.146784486990676
macbook_pro_15,2048,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,12.722631320569464
macbook_pro_15,2048,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,18.021109474717722
macbook_pro_15,2048,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,20.475699558173783
