,exp_timestamp,n_points,test_shc_rmse,use_traind10,dataset
14,2021/04/29/19_40_53,512,0.1154146592598408,True,xihe_fps
15,2021/04/29/20_31_57,1536,0.1155607656110078,True,xihe_fps
16,2021/04/29/23_14_23,1024,0.1155293096089735,True,xihe_fps
17,2021/04/30/21_00_28,1536,0.1158515197457745,True,xihe_fps
18,2021/04/30/06_15_31,1792,0.1162600289098918,True,xihe_fps
20,2021/04/30/14_08_51,512,0.115709910984151,True,xihe_fps
21,2021/04/30/10_42_18,2048,0.1152623142115771,True,xihe_fps
23,2021/04/30/21_57_11,1792,0.1149873756803572,True,xihe_fps
25,2021/04/30/02_44_01,1280,0.1156272285152226,True,xihe_fps
26,2021/04/30/04_48_58,1536,0.1168921561911702,True,xihe_fps
28,2021/04/30/18_49_23,1280,0.1156301058363169,True,xihe_fps
30,2021/04/30/00_07_12,1024,0.1151668078964576,True,xihe_fps
31,2021/04/30/16_59_40,1024,0.1168353263055905,True,xihe_fps
32,2021/04/30/02_40_26,1536,0.1155319057870656,True,xihe_fps
33,2021/04/30/15_14_25,1024,0.1158687497954815,True,xihe_fps
34,2021/04/30/23_55_05,2048,0.1153854051372036,True,xihe_fps
35,2021/04/30/16_47_52,1280,0.1150921813677996,True,xihe_fps
37,2021/04/30/20_36_26,768,0.1162710335338488,True,xihe_fps
38,2021/04/30/08_18_34,2048,0.1153128528967499,True,xihe_fps
44,2021/05/02/04_14_39,2048,0.1151557374396361,True,xihe_fps
49,2021/05/02/04_34_47,1792,0.1155267511494457,True,xihe_fps
